date,max_temperature,avg_temperature,avg_hourly_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_visibility,min_visibility,max_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2017-12-01,7.5,5.7,6.24,3.9,,,97,93.8,90,6.3,5.3,3.3,28,18.29,7,41,13,101.8,101.44,101.2,101.79,101.4,101.18,32200,22712.5,16100,2.4,2,1.4,12.3,0,0.7,0,17.2,17.2,0,,07:46:00,16:17:00,8.52,7.77,16.28,,,8,8,5,5,,,,,8,7.8,6,,,
2017-11-30,7.7,6.75,6.37,5.8,,,96,91.9,89,5.5,5.2,4.5,30,18.88,12,43,11,102.2,101.93,101.8,102.16,101.89,101.79,24100,19962.5,4800,2.6,2,1.5,11.2,0,1.8,0,10.4,10.4,0,,07:45:00,16:18:00,8.55,7.75,16.3,,,6,7,6,7,,,,,8,8,8,,,
2017-11-29,7.8,4.75,5.92,1.7,,,97,91.9,85,6.2,4.7,1.7,21,15.04,9,33,10,102.9,102.63,102.3,102.85,102.57,102.22,32200,27012.5,19300,2.7,2,1.5,13.2,0,0,0,3.2,3.2,0,,07:44:00,16:18:00,8.57,7.73,16.3,,,9,9,6,6,,,,,8,7.2,3,,,
2017-11-28,8.5,5.85,6.03,3.2,,,96,90.4,85,6.2,4.6,1.9,30,15.12,7,46,13,102.2,101.51,101.1,102.18,101.44,101.06,48300,21925,9700,2.8,2.1,1.5,12.2,0,0.8,0,12.6,12.6,0,,07:42:00,16:19:00,8.62,7.7,16.32,,,9,9,6,6,,,,,8,7.2,3,,,
2017-11-27,9.4,6.05,6.78,2.7,,,95,83.5,68,5.7,4.1,2.2,23,11.42,4,37,12,102,101.65,100.9,101.93,101.6,100.89,48300,35679.2,11300,3.1,2.1,1.6,11.9,0,1.1,0,0.4,0.4,0,,07:41:00,16:20:00,8.65,7.68,16.33,,,9,9,6,8,,,,,8,7.2,3,,,
2017-11-26,13.1,9.19,9.41,5.3,,,91,82.9,73,10,6.7,3.1,30,17.04,4,70,25,100.9,100.05,99.5,100.87,99.99,99.46,32200,24670.8,8100,2.6,2,1.4,8.8,0,4.2,0,9.8,9.8,0,,07:40:00,16:20:00,8.67,7.67,16.33,,,12,13,5,6,,,,,8,7,2,,,
2017-11-25,11.1,9.4,9.52,7.7,,,91,78.7,67,8.2,6,4.5,30,18.54,8,41,2,101.7,101.1,99.9,101.63,101.04,99.82,48300,32525,24100,2.2,1.8,1.5,8.6,0,4.4,0,1.4,1.4,0,,07:38:00,16:21:00,8.72,7.63,16.35,,,11,11,8,8,,,,,8,8,8,,,
2017-11-24,9.6,8.6,8.72,7.6,,,88,84,75,7,6.2,4.2,29,21.08,12,44,13,101.7,101.57,101.3,101.64,101.53,101.22,32200,26275,19300,2.4,2,1.6,9.4,0,3.6,0,1.6,1.6,0,,07:37:00,16:22:00,8.75,7.62,16.37,,,8,9,8,9,,,,,8,8,7,,,
2017-11-23,14.2,11.55,10.28,8.9,,,95,82.9,71,10.1,7.5,5.6,27,15.29,3,41,18,101.2,100.9,100.8,101.17,100.84,100.72,48300,35545.8,24100,3.1,2.2,1.5,6.5,0,6.5,1.6,0.8,0.8,0,,07:35:00,16:23:00,8.8,7.58,16.38,,,10,12,8,8,,,,,8,7.3,3,,,
2017-11-22,16.1,13.7,13.57,11.3,,,98,93.5,86,14,12.5,10.8,26,20.67,10,46,14,101.3,101.06,100.7,101.24,101,100.69,24100,19058.3,4000,1.9,1.4,1,4.3,0,8.7,3.7,16.6,16.6,0,,07:34:00,16:24:00,8.83,7.57,16.4,,,13,13,12,12,,,,,8,8,7,,,
